Title,Artist,Year,Rank
Blinding Lights,The Weeknd,2020,1
Circles,Post Malone,2020,2
The Box,Roddy Ricch,2020,3
Don't Start Now,Dua Lipa,2020,4
Rockstar,DaBaby Featuring Roddy Ricch,2020,5
Adore You,Harry Styles,2020,6
Life Is Good,Future Featuring Drake,2020,7
Memories,Maroon 5,2020,8
The Bones,Maren Morris,2020,9
Someone You Loved,Lewis Capaldi,2020,10
Say So,Doja Cat,2020,11
I Hope,Gabby Barrett Featuring Charlie Puth,2020,12
Whats Poppin,"Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne",2020,13
Dance Monkey,Tones And I,2020,14
Savage,Megan Thee Stallion,2020,15
Roxanne,Arizona Zervas,2020,16
Intentions,Justin Bieber Featuring Quavo,2020,17
Everything I Wanted,Billie Eilish,2020,18
Roses,SAINt JHN,2020,19
Watermelon Sugar,Harry Styles,2020,20
Before You Go,Lewis Capaldi,2020,21
Falling,Trevor Daniel,2020,22
"10,000 Hours",Dan + Shay & Justin Bieber,2020,23
WAP,Cardi B Featuring Megan Thee Stallion,2020,24
Ballin',Mustard & Roddy Ricch,2020,25
Hot Girl Bummer,blackbear,2020,26
Blueberry Faygo,Lil Mosey,2020,27
Heartless,The Weeknd,2020,28
BOP,DaBaby,2020,29
Lose You To Love Me,Selena Gomez,2020,30
Good As Hell,Lizzo,2020,31
Toosie Slide,Drake,2020,32
Break My Heart,Dua Lipa,2020,33
Chasin' You,Morgan Wallen,2020,34
Savage Love (Laxed - Siren Beat),Jawsh 685 x Jason Derulo,2020,35
No Guidance,Chris Brown Featuring Drake,2020,36
My Oh My,Camila Cabello Featuring DaBaby,2020,37
Dynamite,BTS,2020,38
Go Crazy,Chris Brown & Young Thug,2020,39
High Fashion,Roddy Ricch Featuring Mustard,2020,40
Laugh Now Cry Later,Drake Featuring Lil Durk,2020,41
Woah,Lil Baby,2020,42
Death Bed,Powfu Featuring beabadoobee,2020,43
Senorita,Shawn Mendes & Camila Cabello,2020,44
HIGHEST IN THE ROOM,Travis Scott,2020,45
Bad Guy,Billie Eilish,2020,46
Mood,24kGoldn Featuring iann dior,2020,47
Rain On Me,Lady Gaga & Ariana Grande,2020,48
For The Night,Pop Smoke Featuring Lil Baby & DaBaby,2020,49
RITMO (Bad Boys For Life),Black Eyed Peas X J Balvin,2020,50
God's Plan,Drake,2018,1
Perfect,Ed Sheeran,2018,2
Meant To Be,Bebe Rexha & Florida Georgia Line,2018,3
Havana,Camila Cabello Featuring Young Thug,2018,4
Rockstar,Post Malone Featuring 21 Savage,2018,5
Psycho,Post Malone Featuring Ty Dolla $ign,2018,6
I Like It,"Cardi B, Bad Bunny & J Balvin",2018,7
The Middle,"Zedd, Maren Morris & Grey",2018,8
In My Feelings,Drake,2018,9
Girls Like You,Maroon 5 Featuring Cardi B,2018,10
Nice For What,Drake,2018,11
Lucid Dreams,Juice WRLD,2018,12
Better Now,Post Malone,2018,13
Finesse,Bruno Mars & Cardi B,2018,14
Boo'd Up,Ella Mai,2018,15
New Rules,Dua Lipa,2018,16
Sad!,XXXTENTACION,2018,17
Never Be The Same,Camila Cabello,2018,18
Love Lies,Khalid & Normani,2018,19
No Tears Left To Cry,Ariana Grande,2018,20
Mine,Bazzi,2018,21
Thunder,Imagine Dragons,2018,22
Look Alive,BlocBoy JB Featuring Drake,2018,23
Delicate,Taylor Swift,2018,24
Yes Indeed,Lil Baby & Drake,2018,25
Friends,Marshmello & Anne-Marie,2018,26
Bad At Love,Halsey,2018,27
Taste,Tyga Featuring Offset,2018,28
Let You Down,NF,2018,29
No Limit,G-Eazy Featuring A$AP Rocky & Cardi B,2018,30
FEFE,6ix9ine Featuring Nicki Minaj & Murda Beatz,2018,31
Tequila,Dan + Shay,2018,32
Feel It Still,Portugal. The Man,2018,33
MotorSport,"Migos, Nicki Minaj & Cardi B",2018,34
I Like Me Better,Lauv,2018,35
Youngblood,5 Seconds Of Summer,2018,36
Whatever It Takes,Imagine Dragons,2018,37
Ric Flair Drip,Offset & Metro Boomin,2018,38
I Fall Apart,Post Malone,2018,39
Pray For Me,The Weeknd & Kendrick Lamar,2018,40
Back To You,Selena Gomez,2018,41
Sicko Mode,Travis Scott,2018,42
Walk It Talk It,Migos Featuring Drake,2018,43
Gucci Gang,Lil Pump,2018,44
Him & I,G-Eazy & Halsey,2018,45
In My Blood,Shawn Mendes,2018,46
All The Stars,Kendrick Lamar & SZA,2018,47
Stir Fry,Migos,2018,48
Too Good At Goodbyes,Sam Smith,2018,49
Love.,Kendrick Lamar Featuring Zacari,2018,50
Love Yourself,Justin Bieber,2016,1
Sorry,Justin Bieber,2016,2
One Dance,Drake Featuring WizKid & Kyla,2016,3
Work,Rihanna Featuring Drake,2016,4
Stressed Out,twenty one pilots,2016,5
Panda,Desiigner,2016,6
Hello,Adele,2016,7
Don't Let Me Down,The Chainsmokers Featuring Daya,2016,8
Can't Stop The Feeling!,Justin Timberlake,2016,9
Closer,The Chainsmokers Featuring Halsey,2016,10
Cheap Thrills,Sia Featuring Sean Paul,2016,11
7 Years,Lukas Graham,2016,12
Needed Me,Rihanna,2016,13
My House,Flo Rida,2016,14
