,Year,Rank,Title,Artist,compound,pos,neg,neu
0,2020,1,Blinding Lights,The Weeknd,-0.4434,0.066,0.091,0.843
1,2020,2,Circles,Post Malone,0.9686,0.105,0.044,0.851
2,2020,3,The Box,Roddy Ricch,-0.9905,0.063,0.125,0.813
3,2020,4,Don't Start Now,Dua Lipa,-0.9797,0.025,0.112,0.863
4,2020,5,Rockstar,DaBaby Featuring Roddy Ricch,0.9783,0.124,0.073,0.803
5,2020,6,Adore You,Harry Styles,0.9913,0.138,0.051,0.812
6,2020,7,Life Is Good,Future Featuring Drake,-0.9866,0.174,0.196,0.63
7,2020,8,Memories,Maroon 5,0.9851,0.16,0.081,0.759
8,2020,9,The Bones,Maren Morris,0.996,0.185,0.04,0.775
9,2020,10,Someone You Loved,Lewis Capaldi,0.9788,0.138,0.076,0.787
10,2020,11,Say So,Doja Cat,0.9796,0.166,0.087,0.748
11,2020,12,I Hope,Gabby Barrett Featuring Charlie Puth,0.9993,0.307,0.038,0.655
12,2020,13,Whats Poppin,"Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne",-0.9933,0.078,0.104,0.818
13,2020,14,Dance Monkey,Tones And I,0.3612,0.039,0.029,0.932
14,2020,15,Savage,Megan Thee Stallion,-0.9989,0.111,0.311,0.578
15,2020,16,Roxanne,Arizona Zervas,0.9964,0.228,0.086,0.686
16,2020,17,Intentions,Justin Bieber Featuring Quavo,0.9985,0.099,0.037,0.864
17,2020,18,Everything I Wanted,Billie Eilish,0.6767,0.092,0.071,0.837
18,2020,19,Roses,SAINt JHN,-0.9724,0.071,0.119,0.811
19,2020,20,Watermelon Sugar,Harry Styles,0.9502,0.088,0.0,0.912
20,2020,21,Before You Go,Lewis Capaldi,-0.9937,0.079,0.19,0.731
21,2020,22,Falling,Trevor Daniel,0.9873,0.147,0.047,0.807
22,2020,23,"10,000 Hours",Dan + Shay & Justin Bieber,0.9978,0.208,0.021,0.772
23,2020,24,WAP,Cardi B Featuring Megan Thee Stallion,-0.9991,0.083,0.213,0.704
24,2020,25,Ballin',Mustard & Roddy Ricch,-0.9912,0.086,0.147,0.767
25,2020,26,Hot Girl Bummer,blackbear,-0.9994,0.08,0.303,0.616
26,2020,27,Blueberry Faygo,Lil Mosey,-0.9982,0.055,0.188,0.756
27,2020,28,Heartless,The Weeknd,-0.9992,0.066,0.301,0.633
28,2020,29,BOP,DaBaby,-0.9368,0.099,0.108,0.793
