Title,Artist,Year,Rank
Blinding Lights,The Weeknd,2020,1
Circles,Post Malone,2020,2
The Box,Roddy Ricch,2020,3
Don't Start Now,Dua Lipa,2020,4
Rockstar,DaBaby Featuring Roddy Ricch,2020,5
Adore You,Harry Styles,2020,6
Life Is Good,Future Featuring Drake,2020,7
Memories,Maroon 5,2020,8
The Bones,Maren Morris,2020,9
Someone You Loved,Lewis Capaldi,2020,10
Say So,Doja Cat,2020,11
I Hope,Gabby Barrett Featuring Charlie Puth,2020,12
Whats Poppin,"Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne",2020,13
Dance Monkey,Tones And I,2020,14
Savage,Megan Thee Stallion,2020,15
Roxanne,Arizona Zervas,2020,16
Intentions,Justin Bieber Featuring Quavo,2020,17
Everything I Wanted,Billie Eilish,2020,18
Roses,SAINt JHN,2020,19
Watermelon Sugar,Harry Styles,2020,20
Before You Go,Lewis Capaldi,2020,21
Falling,Trevor Daniel,2020,22
"10,000 Hours",Dan + Shay & Justin Bieber,2020,23
WAP,Cardi B Featuring Megan Thee Stallion,2020,24
Ballin',Mustard & Roddy Ricch,2020,25
Hot Girl Bummer,blackbear,2020,26
Blueberry Faygo,Lil Mosey,2020,27
Heartless,The Weeknd,2020,28
BOP,DaBaby,2020,29
Lose You To Love Me,Selena Gomez,2020,30
Good As Hell,Lizzo,2020,31
Toosie Slide,Drake,2020,32
Break My Heart,Dua Lipa,2020,33
Chasin' You,Morgan Wallen,2020,34
Savage Love (Laxed - Siren Beat),Jawsh 685 x Jason Derulo,2020,35
No Guidance,Chris Brown Featuring Drake,2020,36
My Oh My,Camila Cabello Featuring DaBaby,2020,37
Dynamite,BTS,2020,38
Go Crazy,Chris Brown & Young Thug,2020,39
High Fashion,Roddy Ricch Featuring Mustard,2020,40
Laugh Now Cry Later,Drake Featuring Lil Durk,2020,41
Woah,Lil Baby,2020,42
Death Bed,Powfu Featuring beabadoobee,2020,43
Senorita,Shawn Mendes & Camila Cabello,2020,44
HIGHEST IN THE ROOM,Travis Scott,2020,45
Bad Guy,Billie Eilish,2020,46
Mood,24kGoldn Featuring iann dior,2020,47
Rain On Me,Lady Gaga & Ariana Grande,2020,48
For The Night,Pop Smoke Featuring Lil Baby & DaBaby,2020,49
RITMO (Bad Boys For Life),Black Eyed Peas X J Balvin,2020,50
Heart On Ice,Rod Wave,2020,51
Nobody But You,Blake Shelton Duet With Gwen Stefani,2020,52
Trampoline,SHAED,2020,53
Come & Go,Juice WRLD x Marshmello,2020,54
Truth Hurts,Lizzo,2020,55
If The World Was Ending,JP Saxe Featuring Julia Michaels,2020,56
We Paid,Lil Baby & 42 Dugg,2020,57
Yummy,Justin Bieber,2020,58
One Man Band,Old Dominion,2020,59
Got What I Got,Jason Aldean,2020,60
Sunday Best,Surfaces,2020,61
Godzilla,Eminem Featuring Juice WRLD,2020,62
Bandit,Juice WRLD & YoungBoy Never Broke Again,2020,63
Party Girl,StaySolidRocky,2020,64
Die From A Broken Heart,Maddie & Tae,2020,65
Popstar,DJ Khaled Featuring Drake,2020,66
All I Want For Christmas Is You,Mariah Carey,2020,67
One Of Them Girls,Lee Brice,2020,68
Hard To Forget,Sam Hunt,2020,69
One Margarita,Luke Bryan,2020,70
Panini,Lil Nas X,2020,71
Hot,Young Thug Featuring Gunna,2020,72
I Hope You're Happy Now,Carly Pearce & Lee Brice,2020,73
Emotionally Scarred,Lil Baby,2020,74
Suicidal,YNW Melly & Juice WRLD,2020,75
The Bigger Picture,Lil Baby,2020,76
Only Human,Jonas Brothers,2020,77
The Woo,Pop Smoke Featuring 50 Cent & Roddy Ricch,2020,78
Sum 2 Prove,Lil Baby,2020,79
Stuck With U,Ariana Grande & Justin Bieber,2020,80
Mood Swings,Pop Smoke Featuring Lil Tjay,2020,81
You Should Be Sad,Halsey,2020,82
Dior,Pop Smoke,2020,83
Supalonely,BENEE Featuring Gus Dapperton,2020,84
Even Though I'm Leaving,Luke Combs,2020,85
The Scotts,"THE SCOTTS, Travis Scott & Kid Cudi",2020,86
Juicy,Doja Cat & Tyga,2020,87
Be Like That,Kane Brown With Swae Lee & Khalid,2020,88
Homesick,Kane Brown,2020,89
Rags2Riches,Rod Wave Featuring ATR Son Son,2020,90
Bluebird,Miranda Lambert,2020,91
Wishing Well,Juice WRLD,2020,92
Does To Me,Luke Combs Featuring Eric Church,2020,93
P*$$y Fairy (OTW),Jhene Aiko,2020,94
ily,Surf Mesa Featuring Emilee,2020,95
More Than My Hometown,Morgan Wallen,2020,96
Lovin' On You,Luke Combs,2020,97
Said Sum,Moneybagg Yo,2020,98
Slide,H.E.R. Featuring YG,2020,99
Old Town Road,Lil Nas X Featuring Billy Ray Cyrus,2019,1
Sunflower (Spider-Man: Into The Spider-Verse),Post Malone & Swae Lee,2019,2
Without Me,Halsey,2019,3
Bad Guy,Billie Eilish,2019,4
Wow.,Post Malone,2019,5
Happier,Marshmello & Bastille,2019,6
7 Rings,Ariana Grande,2019,7
Talk,Khalid,2019,8
Sicko Mode,Travis Scott,2019,9
Sucker,Jonas Brothers,2019,10
High Hopes,Panic! At The Disco,2019,11
"Thank U, Next",Ariana Grande,2019,12
